codigo,descripcion,imputable
11101,Caja en $,True
11102,Caja u$s,True
11103,Banco Provincia Cta Cte,True
11104,Banco Galicia Cta Cte,True
11105,Banco Credicoop Cta Cte,True
11106,Banco Nacion Cta Cte,True
11107,Mercado Pago,True
11201,Moneda Extranjera,True
11202,Plazo Fijo en pesos,True
11203,Plazo Fijo en Dolares,True
11204,Fondo de Inversión,True
11301,Deudores por Ventas,True
11302,Deudores por Tarjeta,True
11303,Documentos a Cobrar $,True
11304,Documentos a Cobrar u$s,True
11305,Deudores Morosos,True
11306,Deudores en Gestión Judicial,True
11307,Cheques de Terceros Rechazados,True
11308,Deudores del Exterior,True
11400,Anticipos Imp. sobre los Ing. Brutos,True
11401,Anticipos Impuesto a las Ganancias,True
11402,IVA Crédito Fiscal,True
11403,IVA Percepción 3337,True
11404,Percepción Ingresos Brutos PBA,True
11405,Cta Particular Giorgi Games Esteban,True
11406,Cta Particular Panelo Nicolas,True
11407,Cta Particular Andrade,True
11408,Cta Particular Leroux,True
11409,Saldo a favor DDJJ Ganancias,True
11410,Retenciones IVA,True
11411,Saldo Tecnico IVA a favor,True
11412,Saldo Libre Disponibildad IVA,True
11413,Saldo a Favor Imp Ing. Brutos,True
11414,Retenciones Contribuc. SUSS,True
11415,Retenciones Contrib. O Social,True
11416,Retenciones Imp. a las Ganancias,True
11417,Garantias Pendientes de Devolucion,True
11418,Retenciones Imp. sobre los Ing Brutos,True
11419,Reten. Bancarias Imp. sobre los Ing Brutos,True
11420,Impuesto al Credito a cta Ganancias,True
11421,Reten. IIBB SIRTAC,True
11422,IVA Crédito Fiscal Bancos,True
11423,Percepción Ingresos Brutos Bancos,True
11424,Reten.Tarjetas Imp. sobre los Ing Brutos,True
11425,Reten.Tarjetas Imp. a las Gcias.,True
11426,Percepcion IIBB Tarjetas,True
11427,Saldos a Favor AFIP,True
11428,Percepción Ganancias,True
11430,IVA Crédito Fiscal 10.5%,True
11431,IVA Crédito Fiscal 27%,True
11432,IVA Crédito Fiscal Bancos 10.5%,True
11433,IVA Credito Fiscal Tarjetas MAL,True
11434,Retencion IVA Tarjetas MAL,True
11435,IVA Crédito Fiscal Tarjetas,True
11436,Retenciones IVA tarjetas,True
11437,Percepciones IVA tarjetas,True
11438,"Iva CF Tarjetas10,5%",True
11503,Anticipo TSH,True
11504,Bebidas Varias,True
11505,Mercaderias,True
11506,Botellon,True
11507,Cigarrillos,True
11601,Alquileres Pagados por Adelantado,True
11602,Seguros Pagados por Adelantado,True
12101,Fondos de Disp Restringida,True
12201,Seguros a cobrar,True
12301,Socios Art. 33 Ley 19550,True
12400,Mejoras s/Inmuebles,True
12401,Terrenos,True
12402,Inmuebles,True
12403,Amortizacion Acumulada Inmuebles,True
12404,Rodados,True
12405,Amortizacion Acumulada Rodados,True
12406,Muebles y Utiles,True
12407,Amortizacion Acumulada Muebles y Utiles,True
12409,Muebles y Articulos Gastronomicos Menores,True
12410,Amortizacion Acumulada Muebles y Articulos Gastronomicos M.,True
12411,Instalaciones,True
12412,Amortizacion Acumulada Instalaciones,True
12413,Equipos Electronicos y de Computación,True
12414,Amortizacion Acumulada Equipos de computación,True
12415,Herramientas Varias,True
12416,Amortizacion Acumulada Herramientas Varias,True
12417,Depreciación Acumulada,True
12418,Muebles y Art Gastronomicos Revaluo,True
12419,Amortizacion Acumulada Muebles y Art Gastronom Revaluo,True
12420,Instalaciones Revaluo,True
12421,Equipo de Pc y Electronicos Revaluo,True
12422,Amortizacion Acumulada Eq de PC y Electron Revaluo,True
12423,Amortizacion Acumulada Instalaciones Revaluo,True
12424,Obra sobre Inmueble Ajeno,True
12425,Amortizacion Acumulada Obra sobre Inm Ajeno,True
21101,Proveedores,True
21102,Acreedores Hipotecarios a pagar,True
21103,Alquileres a pagar,True
21104,Cheques Emitidos Pendientes de Cobro,True
21105,Embargo A Pagar,True
21201,Acreedores Bancarios,True
21202,Tarjeta Visa Galicia a Pagar,True
21301,Contribuciones S.S NO SIPA a Pagar,True
21302,Contribuciones Seg. Social a pagar,True
21303,Aportes Seg. Social a pagar,True
21304,Aportes Obra Social a Pagar,True
21305,Contribuciones Obra Social a Pagar,True
21306,ART a pagar,True
21307,Aporte sindicato a pagar,True
21308,Contribuciones sindicato a pagar,True
21309,Sueldos y Jornales a Pagar,True
